code,name,description,refreshed_at,from_date,to_date
O2D_X,Telefonica Deutschland AG (O2) (O2D_X),Stock Prices for Telefonica Deutschland AG (O2) (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1J5RX9,2020-01-31 22:18:53,2012-10-30,2020-01-31
OSR_X,Osram Licht (OSR_X),Stock Prices for Osram Licht (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000LED4000,2020-01-31 22:18:53,2013-07-08,2020-01-31
P1Z_X,Patrizia Immobilien (P1Z_X),Stock Prices for Patrizia Immobilien (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000PAT1AG3,2020-01-31 22:18:53,2006-03-31,2020-01-31
PFV_X,Pfeiffer Vacuum Technology (PFV_X),Stock Prices for Pfeiffer Vacuum Technology (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006916604,2020-01-31 22:18:53,2000-01-18,2020-01-31
PMOX_X,Prime Office (PMOX_X),"Stock Prices for Prime Office Ag from the Frankfurt Stock Exchange. Trading System: Xetra. Prime Office AG is a leading office property platform with a focus on German metropolitan regions and conurbations. At present, the geographically diversified commercial real estate portfolio contains 58 properties with a total rentable space of about 970,000 square metres and an attractive and broad tenant base. According to a valuation performed by CB Richard Ellis as at 30 September 2013, the properties had a total market value of about EUR 1.9 billion. The property sales in the fourth quarter of 2013 are already reflected in this number.",2016-12-14 22:32:23,2011-07-28,2016-12-14
PSAN_X,PSI Software AG (PSAN_X),Stock Prices for PSI Software AG (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0Z1JH9,2020-01-31 22:18:53,2000-03-23,2020-01-31
PSM_X,Prosiebensat.1 Media (PSM_X),Stock Prices for Prosiebensat.1 Media (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000PSM7770,2020-01-31 22:18:53,2000-10-13,2020-01-31
PUM_X,Puma Se (PUM_X),Stock Prices for Puma Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006969603,2020-01-31 22:18:53,2000-01-19,2020-01-31
QIA_X,Qiagen N.v. (QIA_X),Stock Prices for Qiagen N.v. (QIA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: NL0000240000,2019-06-25 22:37:06,2000-01-03,2019-06-25
QSC_X,Qsc (QSC_X),Stock Prices for Qsc (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005137004,2020-01-31 22:18:53,2000-04-19,2020-01-31
RAA_X,Rational (RAA_X),Stock Prices for Rational (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007010803,2020-01-31 22:18:53,2000-06-02,2020-01-31
RHK_X,RhÖn-klinikum (RHK_X),Stock Prices for RhÖn-klinikum (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007042301,2020-01-31 22:18:53,2000-01-18,2020-01-31
RHM_X,Rheinmetall (RHM_X),Stock Prices for Rheinmetall (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007030009,2020-01-31 22:18:53,2000-01-14,2020-01-31
RRTL_X,RTL S.A. (RRTL_X),Stock Prices for RTL S.A. (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: LU0061462528,2020-01-31 22:18:53,2000-08-09,2020-01-31
RWE_X,Rwe  St (RWE_X),Stock Prices for Rwe  St (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007037129,2020-01-31 22:18:53,2000-01-19,2020-01-31
S92_X,SMA Solar AG (S92_X),Stock Prices for SMA Solar AG (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0DJ6J9,2020-01-31 22:18:53,2008-06-27,2020-01-31
SAP_X,Sap (SAP_X),Stock Prices for Sap (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007164600,2020-01-31 22:18:53,2000-01-18,2020-01-31
SAX_X,Ströer SE & Co. KGaA (SAX_X),Stock Prices for Ströer SE & Co. KGaA (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007493991,2020-01-31 22:18:53,2010-08-06,2020-01-31
SAZ_X,Stada Arzneimittel Ag (SAZ_X),"Stock Prices for Stada Arzneimittel Ag from the Frankfurt Stock Exchange. Trading System: Xetra. STADA Arzneimittel AG is a publicly-listed company with headquarters in Bad Vilbel, Germany. STADA consistently focuses on a multi-pillar strategy of generics and branded products (OTC) with an increasingly international market orientation. The Group traditionally has a strong presence in Europe and is the only independent generics producer in Germany. Worldwide, STADA is one of the five leading companies in the generics industry and is represented in more than 30 countries with approximately 50 subsidiaries. Branded products such as Mobilat, Grippostad and Ladival are among the highest selling in their product category in Germany. In financial year 2012, STADA achieved Group sales of Euro 1,837.5 million, adjusted earnings before interest, taxes, depreciation and amortization (EBITDA) of Euro 367.5 million and adjusted net income of Euro 147.9 million. As of December 31, 2012, STADA employed 7,761 people worldwide.",2015-11-28 01:08:53,2000-01-18,2015-11-27
SBS_X,Stratec Biomedical (SBS_X),Stock Prices for Stratec Biomedical (SBS) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007289001,2018-11-29 22:29:38,2000-06-27,2018-11-29
SDF_X,K+s Aktiengesellschaft (SDF_X),Stock Prices for K+s Aktiengesellschaft (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000KSAG888,2020-01-31 22:18:53,2000-01-18,2020-01-31
SFQ_X,SAF-Holland SA (SFQ_X),Stock Prices for SAF-Holland SA (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: LU0307018795,2020-01-31 22:18:53,2007-07-26,2020-01-31
SGL_X,Sgl Carbon Se (SGL_X),Stock Prices for Sgl Carbon Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007235301,2020-01-31 22:18:53,2000-01-18,2020-01-31
SIE_X,Siemens (SIE_X),Stock Prices for Siemens (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007236101,2020-01-31 22:18:53,2000-01-18,2020-01-31
SIX2_X,Sixt Se St (SIX2_X),Stock Prices for Sixt Se St (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007231326,2020-01-31 22:18:53,2000-01-18,2020-01-31
SKB_X,Koenig & Bauer (SKB_X),Stock Prices for Koenig & Bauer (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007193500,2020-01-31 22:18:53,2000-01-03,2020-01-31
SKYD_X,Sky Deutschland (SKYD_X),Stock Prices for Sky Deutschland (SKYD) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000SKYD000,2018-11-09 22:29:27,2005-03-23,2018-11-06
SLT_X,Schaltbau Holding (SLT_X),Stock Prices for Schaltbau Holding (SLT) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007170300,2018-10-24 22:28:24,2000-01-03,2018-10-18
SOW_X,Software (SOW_X),Stock Prices for Software (SOW) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0003304002,2019-06-25 22:37:06,2000-01-19,2019-06-25
SPR_X,Axel Springer Se (SPR_X),Stock Prices for Axel Springer Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005501357,2020-01-31 22:18:53,2000-11-06,2020-01-31
SRT3_X,Sartorius  Vz (SRT3_X),Stock Prices for Sartorius  Vz (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007165631,2020-01-31 22:18:53,2000-03-17,2020-01-31
SW1_X,Shw (SW1_X),Stock Prices for Shw (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1JBPV9,2020-01-31 22:18:53,2011-07-07,2020-01-31
SY1_X,Symrise (SY1_X),Stock Prices for Symrise (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000SYM9999,2020-01-31 22:18:53,2006-12-11,2020-01-31
SZG_X,Salzgitter (SZG_X),Stock Prices for Salzgitter (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006202005,2020-01-31 22:18:53,2000-01-17,2020-01-31
SZU_X,Südzucker (SZU_X),Stock Prices for Südzucker (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007297004,2020-01-31 22:18:53,2000-01-18,2020-01-31
TEG_X,Tag Immobilien (TEG_X),Stock Prices for Tag Immobilien (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0008303504,2020-01-31 22:18:53,2000-10-06,2020-01-31
TIM_X,ZEAL Network SE (TIM_X),Stock Prices for ZEAL Network SE (2019-10-16) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: GB00BHD66J44,2019-10-30 22:19:48,2005-10-12,2019-10-28
TKA_X,Thyssenkrupp (TKA_X),Stock Prices for Thyssenkrupp (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007500001,2020-01-31 22:18:53,2000-01-18,2020-01-31
TLX_X,Talanx Aktiengesellschaft (TLX_X),Stock Prices for Talanx Aktiengesellschaft (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000TLX1005,2020-01-31 22:18:53,2012-10-02,2020-01-31
TTI_X,Tom Tailor Holding (TTI_X),Stock Prices for Tom Tailor Holding (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0STST2,2020-01-31 22:18:53,2010-03-26,2020-01-31
TTK_X,Takkt (TTK_X),Stock Prices for Takkt (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007446007,2020-01-31 22:18:53,2000-01-18,2020-01-31
TUI1_X,Tui (TUI1_X),Stock Prices for Tui (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000TUAG000,2020-01-31 22:18:53,2000-01-18,2020-01-31
UTDI_X,United Internet (UTDI_X),Stock Prices for United Internet (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005089031,2020-01-31 22:18:53,2000-08-28,2020-01-31
VIB3_X,Villeroy & Boch AG (VIB3_X),Stock Prices for Villeroy & Boch AG (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007657231,2020-01-31 22:18:53,2000-05-19,2020-01-31
VNA_X,Vonovia SE (ex Deutsche Annington) (VNA_X),Stock Prices for Vonovia SE (ex Deutsche Annington) (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1ML7J1,2020-01-31 22:18:53,2013-07-11,2020-01-31
VOS_X,Vossloh (VOS_X),Stock Prices for Vossloh (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007667107,2020-01-31 22:18:53,2000-03-28,2020-01-31
VOW3_X,Volkswagen  Vz (VOW3_X),Stock Prices for Volkswagen  Vz (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007664039,2020-01-31 22:18:53,2000-01-18,2020-01-31
VT9_X,Vtg Aktiengesellschaft (VT9_X),Stock Prices for Vtg Aktiengesellschaft (VT9) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000VTG9999,2019-04-12 22:53:21,2007-06-28,2019-04-08
WAC_X,Wacker Neuson Se (WAC_X),Stock Prices for Wacker Neuson Se (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000WACK012,2020-01-31 22:18:53,2007-05-15,2020-01-31
WCH_X,Wacker Chemie (WCH_X),Stock Prices for Wacker Chemie (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000WCH8881,2020-01-31 22:18:53,2006-04-10,2020-01-31
WDI_X,Wirecard (WDI_X),Stock Prices for Wirecard (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007472060,2020-01-31 22:18:53,2001-08-22,2020-01-31
WIN_X,Diebold Nixdorf AG (WIN_X),Stock Prices for Diebold Nixdorf AG (WIN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0CAYB2,2019-05-17 22:34:18,2004-06-16,2019-05-13
ZIL2_X,Elringklinger (ZIL2_X),Stock Prices for Elringklinger (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007856023,2020-01-31 22:18:53,2001-09-24,2020-01-31
ZO1_X,Zooplus (ZO1_X),Stock Prices for Zooplus (2020-01-17) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005111702,2020-01-31 22:18:53,2008-05-09,2020-01-31
